featureArea,pageOrComponent,surface,currentIconName,currentLibrary,filePath,line,usageContext,semanticMeaning,status
provider,page.tsx,desktop,Search,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/providers/page.tsx,11,import,varies,keep
provider,page.tsx,desktop,Star,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/providers/page.tsx,11,import,varies,review
other,page.tsx,desktop,ArrowLeft,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/replace-repair/page.tsx,6,import,varies,keep
other,page.tsx,desktop,Loader2,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/replace-repair/page.tsx,6,import,varies,keep
other,page.tsx,desktop,Wrench,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/replace-repair/page.tsx,6,import,varies,review
other,page.tsx,desktop,ArrowLeft,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/risk-premium-optimizer/page.tsx,5,import,varies,keep
other,page.tsx,desktop,Loader2,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/risk-premium-optimizer/page.tsx,5,import,varies,keep
other,page.tsx,desktop,ShieldAlert,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/risk-premium-optimizer/page.tsx,5,import,varies,review
other,page.tsx,desktop,AlertTriangle,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/risk-radar/page.tsx,7,import,varies,review
other,page.tsx,desktop,ArrowLeft,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/risk-radar/page.tsx,7,import,varies,keep
other,page.tsx,desktop,Shield,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/risk-radar/page.tsx,7,import,varies,review
other,page.tsx,desktop,ShieldAlert,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/risk-radar/page.tsx,7,import,varies,review
seasonal,page.tsx,desktop,ArrowLeft,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/seasonal/page.tsx,7,import,varies,keep
seasonal,page.tsx,desktop,Calendar,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/seasonal/page.tsx,7,import,varies,keep
seasonal,page.tsx,desktop,ChevronDown,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/seasonal/page.tsx,7,import,varies,keep
seasonal,page.tsx,desktop,ChevronRight,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/seasonal/page.tsx,7,import,varies,keep
seasonal,page.tsx,desktop,Clock,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/seasonal/page.tsx,7,import,varies,keep
seasonal,page.tsx,desktop,Settings,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/seasonal/page.tsx,7,import,varies,review
seasonal,page.tsx,desktop,ArrowLeft,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/seasonal/settings/page.tsx,6,import,varies,keep
seasonal,page.tsx,desktop,Bell,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/seasonal/settings/page.tsx,6,import,varies,review
seasonal,page.tsx,desktop,CheckCircle2,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/seasonal/settings/page.tsx,6,import,varies,review
seasonal,page.tsx,desktop,MapPin,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/seasonal/settings/page.tsx,6,import,varies,review
seasonal,page.tsx,desktop,Save,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/seasonal/settings/page.tsx,6,import,varies,keep
other,page.tsx,desktop,Scale,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/tax-appeal/page.tsx,7,import,varies,review
other,page.tsx,desktop,Loader2,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/tax-appeal/page.tsx,7,import,varies,keep
other,page.tsx,desktop,ArrowLeft,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/tax-appeal/page.tsx,7,import,varies,keep
other,page.tsx,desktop,Camera,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/visual-inspector/page.tsx,7,import,varies,review
other,page.tsx,desktop,Loader2,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/visual-inspector/page.tsx,7,import,varies,keep
other,page.tsx,desktop,ArrowLeft,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/visual-inspector/page.tsx,7,import,varies,keep
warranties,page.tsx,desktop,FileText,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/warranties/page.tsx,5,import,varies,review
warranties,page.tsx,desktop,Plus,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/warranties/page.tsx,5,import,varies,keep
warranties,page.tsx,desktop,Loader2,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/warranties/page.tsx,5,import,varies,keep
warranties,page.tsx,desktop,Trash2,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/warranties/page.tsx,5,import,varies,keep
warranties,page.tsx,desktop,Edit,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/warranties/page.tsx,5,import,varies,keep
warranties,page.tsx,desktop,Upload,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/warranties/page.tsx,5,import,varies,keep
warranties,page.tsx,desktop,AlertCircle,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/warranties/page.tsx,5,import,varies,keep
warranties,page.tsx,desktop,ArrowLeft,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/warranties/page.tsx,5,import,varies,keep
warranties,page.tsx,desktop,BadgeCheck,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/warranties/page.tsx,5,import,varies,review
warranties,page.tsx,desktop,CalendarDays,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/warranties/page.tsx,5,import,varies,review
warranties,page.tsx,desktop,ChevronDown,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/warranties/page.tsx,5,import,varies,keep
warranties,page.tsx,desktop,MoreHorizontal,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/warranties/page.tsx,5,import,varies,keep
warranties,page.tsx,desktop,Sparkles,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/warranties/page.tsx,5,import,varies,review
warranties,page.tsx,desktop,ShieldCheck,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/warranties/page.tsx,5,import,varies,review
warranties,page.tsx,desktop,Save,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/warranties/page.tsx,5,import,varies,keep
warranties,page.tsx,desktop,X,lucide-react,apps/frontend/src/app/(dashboard)/dashboard/warranties/page.tsx,5,import,varies,keep
other,error.tsx,desktop,inline-svg,inline-svg,apps/frontend/src/app/(dashboard)/error.tsx,21,inline svg element,varies,review
navigation,layout.tsx,both,Home,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,Calendar,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,keep
navigation,layout.tsx,both,Building,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,Search,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,keep
navigation,layout.tsx,both,ListChecks,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,LogOut,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,PanelLeft,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,Settings,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,Shield,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,Wrench,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,DollarSign,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,FileText,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,Globe,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,AlertTriangle,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,Box,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,ClipboardCheck,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,LayoutGrid,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,ShieldAlert,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,ShieldCheck,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,TrendingUp,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,Info,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,keep
navigation,layout.tsx,both,Calculator,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,Scale,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,Activity,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,Target,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,ChevronDown,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,keep
navigation,layout.tsx,both,Sparkles,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,Zap,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,Cloud,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,Camera,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,PauseCircle,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
navigation,layout.tsx,both,PiggyBank,lucide-react,apps/frontend/src/app/(dashboard)/layout.tsx,17,import,varies,review
other,error.tsx,desktop,inline-svg,inline-svg,apps/frontend/src/app/error.tsx,20,inline svg element,varies,review
other,page.tsx,desktop,WifiOff,lucide-react,apps/frontend/src/app/offline/page.tsx,5,import,varies,review
other,page.tsx,desktop,RefreshCw,lucide-react,apps/frontend/src/app/offline/page.tsx,5,import,varies,review
other,page.tsx,desktop,Home,lucide-react,apps/frontend/src/app/offline/page.tsx,5,import,varies,review
provider,page.tsx,both,ChevronLeft,lucide-react,apps/frontend/src/app/providers/(dashboard)/calendar/page.tsx,5,import,varies,review
provider,page.tsx,both,ChevronRight,lucide-react,apps/frontend/src/app/providers/(dashboard)/calendar/page.tsx,5,import,varies,keep
provider,page.tsx,both,Clock3,lucide-react,apps/frontend/src/app/providers/(dashboard)/calendar/page.tsx,5,import,varies,review
provider,page.tsx,both,CalendarDays,lucide-react,apps/frontend/src/app/providers/(dashboard)/dashboard/page.tsx,7,import,varies,review
provider,layout.tsx,both,Menu,lucide-react,apps/frontend/src/app/providers/(dashboard)/layout.tsx,8,import,varies,review
provider,layout.tsx,both,X,lucide-react,apps/frontend/src/app/providers/(dashboard)/layout.tsx,8,import,varies,keep
provider,layout.tsx,both,📊,emoji,apps/frontend/src/app/providers/(dashboard)/layout.tsx,38,icon property,emoji icon,replace
provider,layout.tsx,both,📅,emoji,apps/frontend/src/app/providers/(dashboard)/layout.tsx,39,icon property,emoji icon,replace
provider,layout.tsx,both,🔧,emoji,apps/frontend/src/app/providers/(dashboard)/layout.tsx,40,icon property,emoji icon,replace
provider,layout.tsx,both,🗓️,emoji,apps/frontend/src/app/providers/(dashboard)/layout.tsx,41,icon property,emoji icon,replace
provider,layout.tsx,both,📸,emoji,apps/frontend/src/app/providers/(dashboard)/layout.tsx,42,icon property,emoji icon,replace
provider,layout.tsx,both,⚙️,emoji,apps/frontend/src/app/providers/(dashboard)/layout.tsx,43,icon property,emoji icon,replace
provider,page.tsx,both,inline-svg,inline-svg,apps/frontend/src/app/providers/(dashboard)/services/page.tsx,442,inline svg element,varies,review
provider,page.tsx,both,inline-svg,inline-svg,apps/frontend/src/app/providers/(dashboard)/services/page.tsx,635,inline svg element,varies,review
provider,page.tsx,both,inline-svg,inline-svg,apps/frontend/src/app/providers/join/page.tsx,303,inline svg element,varies,review
provider,page.tsx,both,inline-svg,inline-svg,apps/frontend/src/app/providers/join/page.tsx,307,inline svg element,varies,review
provider,page.tsx,both,inline-svg,inline-svg,apps/frontend/src/app/providers/join/page.tsx,342,inline svg element,varies,review
provider,page.tsx,both,inline-svg,inline-svg,apps/frontend/src/app/providers/join/page.tsx,346,inline svg element,varies,review
other,AIChat.tsx,both,X,lucide-react,apps/frontend/src/components/AIChat.tsx,5,import,varies,keep
other,AIChat.tsx,both,Send,lucide-react,apps/frontend/src/components/AIChat.tsx,5,import,varies,review
other,AIChat.tsx,both,Sparkles,lucide-react,apps/frontend/src/components/AIChat.tsx,5,import,varies,review
other,ApplianceOracle.tsx,both,AlertTriangle,lucide-react,apps/frontend/src/components/ApplianceOracle.tsx,5,import,varies,review
other,ApplianceOracle.tsx,both,TrendingUp,lucide-react,apps/frontend/src/components/ApplianceOracle.tsx,5,import,varies,review
other,ApplianceOracle.tsx,both,DollarSign,lucide-react,apps/frontend/src/components/ApplianceOracle.tsx,5,import,varies,review
other,ApplianceOracle.tsx,both,Calendar,lucide-react,apps/frontend/src/components/ApplianceOracle.tsx,5,import,varies,keep
other,ApplianceOracle.tsx,both,Zap,lucide-react,apps/frontend/src/components/ApplianceOracle.tsx,5,import,varies,review
other,ApplianceOracle.tsx,both,Shield,lucide-react,apps/frontend/src/components/ApplianceOracle.tsx,5,import,varies,review
other,ApplianceOracle.tsx,both,Loader2,lucide-react,apps/frontend/src/components/ApplianceOracle.tsx,5,import,varies,keep
other,ApplianceOracle.tsx,both,ChevronDown,lucide-react,apps/frontend/src/components/ApplianceOracle.tsx,5,import,varies,keep
other,ApplianceOracle.tsx,both,ChevronUp,lucide-react,apps/frontend/src/components/ApplianceOracle.tsx,5,import,varies,keep
other,ApplianceOracle.tsx,both,Sparkles,lucide-react,apps/frontend/src/components/ApplianceOracle.tsx,5,import,varies,review
other,ClimateRiskPredictor.tsx,both,Cloud,lucide-react,apps/frontend/src/components/ClimateRiskPredictor.tsx,5,import,varies,review
other,ClimateRiskPredictor.tsx,both,AlertTriangle,lucide-react,apps/frontend/src/components/ClimateRiskPredictor.tsx,5,import,varies,review
other,ClimateRiskPredictor.tsx,both,TrendingUp,lucide-react,apps/frontend/src/components/ClimateRiskPredictor.tsx,5,import,varies,review
other,ClimateRiskPredictor.tsx,both,Shield,lucide-react,apps/frontend/src/components/ClimateRiskPredictor.tsx,5,import,varies,review
other,ClimateRiskPredictor.tsx,both,DollarSign,lucide-react,apps/frontend/src/components/ClimateRiskPredictor.tsx,5,import,varies,review
other,ClimateRiskPredictor.tsx,both,Loader2,lucide-react,apps/frontend/src/components/ClimateRiskPredictor.tsx,5,import,varies,keep
other,ClimateRiskPredictor.tsx,both,ChevronDown,lucide-react,apps/frontend/src/components/ClimateRiskPredictor.tsx,5,import,varies,keep
other,ClimateRiskPredictor.tsx,both,ChevronUp,lucide-react,apps/frontend/src/components/ClimateRiskPredictor.tsx,5,import,varies,keep
other,ClimateRiskPredictor.tsx,both,Lightbulb,lucide-react,apps/frontend/src/components/ClimateRiskPredictor.tsx,5,import,varies,review
other,CommunityEventsCard.tsx,both,Calendar,lucide-react,apps/frontend/src/components/CommunityEventsCard.tsx,6,import,varies,keep
other,CommunityEventsCard.tsx,both,ExternalLink,lucide-react,apps/frontend/src/components/CommunityEventsCard.tsx,6,import,varies,keep
other,CommunityEventsList.tsx,both,Calendar,lucide-react,apps/frontend/src/components/CommunityEventsList.tsx,3,import,varies,keep
other,CommunityEventsList.tsx,both,ExternalLink,lucide-react,apps/frontend/src/components/CommunityEventsList.tsx,3,import,varies,keep
other,CommunityEventsList.tsx,both,MapPin,lucide-react,apps/frontend/src/components/CommunityEventsList.tsx,3,import,varies,review
other,EmergencyTroubleshooter.tsx,both,AlertTriangle,lucide-react,apps/frontend/src/components/EmergencyTroubleshooter.tsx,5,import,varies,review
other,EmergencyTroubleshooter.tsx,both,Loader2,lucide-react,apps/frontend/src/components/EmergencyTroubleshooter.tsx,5,import,varies,keep
other,EnergyAuditor.tsx,both,Zap,lucide-react,apps/frontend/src/components/EnergyAuditor.tsx,5,import,varies,review
other,EnergyAuditor.tsx,both,TrendingDown,lucide-react,apps/frontend/src/components/EnergyAuditor.tsx,5,import,varies,review
other,EnergyAuditor.tsx,both,DollarSign,lucide-react,apps/frontend/src/components/EnergyAuditor.tsx,5,import,varies,review
other,EnergyAuditor.tsx,both,Leaf,lucide-react,apps/frontend/src/components/EnergyAuditor.tsx,5,import,varies,review
other,EnergyAuditor.tsx,both,Lightbulb,lucide-react,apps/frontend/src/components/EnergyAuditor.tsx,5,import,varies,review
other,EnergyAuditor.tsx,both,Upload,lucide-react,apps/frontend/src/components/EnergyAuditor.tsx,5,import,varies,keep
other,EnergyAuditor.tsx,both,Loader2,lucide-react,apps/frontend/src/components/EnergyAuditor.tsx,5,import,varies,keep
other,EnergyAuditor.tsx,both,CheckCircle,lucide-react,apps/frontend/src/components/EnergyAuditor.tsx,5,import,varies,review
other,EnergyAuditor.tsx,both,AlertCircle,lucide-react,apps/frontend/src/components/EnergyAuditor.tsx,5,import,varies,keep
other,EnergyAuditor.tsx,both,X,lucide-react,apps/frontend/src/components/EnergyAuditor.tsx,5,import,varies,keep
other,HomeModificationAdvisor.tsx,both,Home,lucide-react,apps/frontend/src/components/HomeModificationAdvisor.tsx,5,import,varies,review
other,HomeModificationAdvisor.tsx,both,TrendingUp,lucide-react,apps/frontend/src/components/HomeModificationAdvisor.tsx,5,import,varies,review
other,HomeModificationAdvisor.tsx,both,DollarSign,lucide-react,apps/frontend/src/components/HomeModificationAdvisor.tsx,5,import,varies,review
other,HomeModificationAdvisor.tsx,both,Clock,lucide-react,apps/frontend/src/components/HomeModificationAdvisor.tsx,5,import,varies,keep
other,HomeModificationAdvisor.tsx,both,CheckCircle,lucide-react,apps/frontend/src/components/HomeModificationAdvisor.tsx,5,import,varies,review
other,HomeModificationAdvisor.tsx,both,Loader2,lucide-react,apps/frontend/src/components/HomeModificationAdvisor.tsx,5,import,varies,keep
other,HomeModificationAdvisor.tsx,both,Lightbulb,lucide-react,apps/frontend/src/components/HomeModificationAdvisor.tsx,5,import,varies,review
other,HomeModificationAdvisor.tsx,both,AlertCircle,lucide-react,apps/frontend/src/components/HomeModificationAdvisor.tsx,5,import,varies,keep
other,InspectionReportAnalyzer.tsx,both,Upload,lucide-react,apps/frontend/src/components/InspectionReportAnalyzer.tsx,15,import,varies,keep
other,InspectionReportAnalyzer.tsx,both,FileText,lucide-react,apps/frontend/src/components/InspectionReportAnalyzer.tsx,15,import,varies,review
other,InspectionReportAnalyzer.tsx,both,Loader2,lucide-react,apps/frontend/src/components/InspectionReportAnalyzer.tsx,15,import,varies,keep
other,InspectionReportAnalyzer.tsx,both,AlertCircle,lucide-react,apps/frontend/src/components/InspectionReportAnalyzer.tsx,15,import,varies,keep
other,InspectionReportAnalyzer.tsx,both,CheckCircle2,lucide-react,apps/frontend/src/components/InspectionReportAnalyzer.tsx,15,import,varies,review
other,InspectionReportAnalyzer.tsx,both,DollarSign,lucide-react,apps/frontend/src/components/InspectionReportAnalyzer.tsx,15,import,varies,review
other,InspectionReportAnalyzer.tsx,both,Calendar,lucide-react,apps/frontend/src/components/InspectionReportAnalyzer.tsx,15,import,varies,keep
other,InspectionReportAnalyzer.tsx,both,TrendingDown,lucide-react,apps/frontend/src/components/InspectionReportAnalyzer.tsx,15,import,varies,review
other,InspectionReportAnalyzer.tsx,both,Mail,lucide-react,apps/frontend/src/components/InspectionReportAnalyzer.tsx,15,import,varies,review
other,InspectionReportAnalyzer.tsx,both,Home,lucide-react,apps/frontend/src/components/InspectionReportAnalyzer.tsx,15,import,varies,review
other,InspectionReportAnalyzer.tsx,both,Wrench,lucide-react,apps/frontend/src/components/InspectionReportAnalyzer.tsx,15,import,varies,review
other,InspectionReportAnalyzer.tsx,both,AlertTriangle,lucide-react,apps/frontend/src/components/InspectionReportAnalyzer.tsx,15,import,varies,review
other,MovingConcierge.tsx,both,Truck,lucide-react,apps/frontend/src/components/MovingConcierge.tsx,4,import,varies,review
other,MovingConcierge.tsx,both,CheckCircle2,lucide-react,apps/frontend/src/components/MovingConcierge.tsx,4,import,varies,review
other,MovingConcierge.tsx,both,Circle,lucide-react,apps/frontend/src/components/MovingConcierge.tsx,4,import,varies,review
other,MovingConcierge.tsx,both,DollarSign,lucide-react,apps/frontend/src/components/MovingConcierge.tsx,4,import,varies,review
other,MovingConcierge.tsx,both,Calendar,lucide-react,apps/frontend/src/components/MovingConcierge.tsx,4,import,varies,keep
other,MovingConcierge.tsx,both,Zap,lucide-react,apps/frontend/src/components/MovingConcierge.tsx,4,import,varies,review
other,MovingConcierge.tsx,both,Home,lucide-react,apps/frontend/src/components/MovingConcierge.tsx,4,import,varies,review
other,MovingConcierge.tsx,both,Package,lucide-react,apps/frontend/src/components/MovingConcierge.tsx,4,import,varies,review
other,MovingConcierge.tsx,both,Loader2,lucide-react,apps/frontend/src/components/MovingConcierge.tsx,4,import,varies,keep
other,MovingConcierge.tsx,both,AlertCircle,lucide-react,apps/frontend/src/components/MovingConcierge.tsx,4,import,varies,keep
other,MovingConcierge.tsx,both,Lightbulb,lucide-react,apps/frontend/src/components/MovingConcierge.tsx,4,import,varies,review
other,MovingConcierge.tsx,both,Phone,lucide-react,apps/frontend/src/components/MovingConcierge.tsx,4,import,varies,review
other,MovingConcierge.tsx,both,Globe,lucide-react,apps/frontend/src/components/MovingConcierge.tsx,4,import,varies,review
other,MovingConcierge.tsx,both,Save,lucide-react,apps/frontend/src/components/MovingConcierge.tsx,4,import,varies,keep
other,MovingConcierge.tsx,both,Check,lucide-react,apps/frontend/src/components/MovingConcierge.tsx,4,import,varies,keep
property,PropertyAppreciationTracker.tsx,both,TrendingUp,lucide-react,apps/frontend/src/components/PropertyAppreciationTracker.tsx,5,import,varies,review
property,PropertyAppreciationTracker.tsx,both,DollarSign,lucide-react,apps/frontend/src/components/PropertyAppreciationTracker.tsx,5,import,varies,review
property,PropertyAppreciationTracker.tsx,both,Calendar,lucide-react,apps/frontend/src/components/PropertyAppreciationTracker.tsx,5,import,varies,keep
property,PropertyAppreciationTracker.tsx,both,BarChart3,lucide-react,apps/frontend/src/components/PropertyAppreciationTracker.tsx,5,import,varies,review
property,PropertyAppreciationTracker.tsx,both,Loader2,lucide-react,apps/frontend/src/components/PropertyAppreciationTracker.tsx,5,import,varies,keep
property,PropertyAppreciationTracker.tsx,both,Lightbulb,lucide-react,apps/frontend/src/components/PropertyAppreciationTracker.tsx,5,import,varies,review
property,PropertyAppreciationTracker.tsx,both,RefreshCw,lucide-react,apps/frontend/src/components/PropertyAppreciationTracker.tsx,5,import,varies,review
property,PropertySetupBanner.tsx,both,Home,lucide-react,apps/frontend/src/components/PropertySetupBanner.tsx,6,import,varies,review
property,PropertySetupBanner.tsx,both,X,lucide-react,apps/frontend/src/components/PropertySetupBanner.tsx,6,import,varies,keep
other,ServiceCategoryIcon.tsx,both,Clipboard,lucide-react,apps/frontend/src/components/ServiceCategoryIcon.tsx,3,import,varies,review
other,ServiceCategoryIcon.tsx,both,Truck,lucide-react,apps/frontend/src/components/ServiceCategoryIcon.tsx,3,import,varies,review
other,ServiceCategoryIcon.tsx,both,Sparkles,lucide-react,apps/frontend/src/components/ServiceCategoryIcon.tsx,3,import,varies,review
other,ServiceCategoryIcon.tsx,both,Key,lucide-react,apps/frontend/src/components/ServiceCategoryIcon.tsx,3,import,varies,review
other,ServiceCategoryIcon.tsx,both,Bug,lucide-react,apps/frontend/src/components/ServiceCategoryIcon.tsx,3,import,varies,review
other,ServiceCategoryIcon.tsx,both,Wind,lucide-react,apps/frontend/src/components/ServiceCategoryIcon.tsx,3,import,varies,review
other,ServiceCategoryIcon.tsx,both,Wrench,lucide-react,apps/frontend/src/components/ServiceCategoryIcon.tsx,3,import,varies,review
other,ServiceCategoryIcon.tsx,both,Droplet,lucide-react,apps/frontend/src/components/ServiceCategoryIcon.tsx,3,import,varies,review
other,ServiceCategoryIcon.tsx,both,Zap,lucide-react,apps/frontend/src/components/ServiceCategoryIcon.tsx,3,import,varies,review
other,ServiceCategoryIcon.tsx,both,Leaf,lucide-react,apps/frontend/src/components/ServiceCategoryIcon.tsx,3,import,varies,review
other,ServiceCategoryIcon.tsx,both,Home,lucide-react,apps/frontend/src/components/ServiceCategoryIcon.tsx,3,import,varies,review
other,SmartDocumentUpload.tsx,both,Upload,lucide-react,apps/frontend/src/components/SmartDocumentUpload.tsx,5,import,varies,keep
other,SmartDocumentUpload.tsx,both,FileText,lucide-react,apps/frontend/src/components/SmartDocumentUpload.tsx,5,import,varies,review
other,SmartDocumentUpload.tsx,both,CheckCircle,lucide-react,apps/frontend/src/components/SmartDocumentUpload.tsx,5,import,varies,review
other,SmartDocumentUpload.tsx,both,AlertCircle,lucide-react,apps/frontend/src/components/SmartDocumentUpload.tsx,5,import,varies,keep
other,SmartDocumentUpload.tsx,both,Loader2,lucide-react,apps/frontend/src/components/SmartDocumentUpload.tsx,5,import,varies,keep
other,SmartDocumentUpload.tsx,both,X,lucide-react,apps/frontend/src/components/SmartDocumentUpload.tsx,5,import,varies,keep
other,SmartDocumentUpload.tsx,both,FileCheck,lucide-react,apps/frontend/src/components/SmartDocumentUpload.tsx,5,import,varies,review
other,TaxAppealAssistant.tsx,both,FileText,lucide-react,apps/frontend/src/components/TaxAppealAssistant.tsx,5,import,varies,review
other,TaxAppealAssistant.tsx,both,DollarSign,lucide-react,apps/frontend/src/components/TaxAppealAssistant.tsx,5,import,varies,review
other,TaxAppealAssistant.tsx,both,TrendingDown,lucide-react,apps/frontend/src/components/TaxAppealAssistant.tsx,5,import,varies,review
other,TaxAppealAssistant.tsx,both,Upload,lucide-react,apps/frontend/src/components/TaxAppealAssistant.tsx,5,import,varies,keep
other,TaxAppealAssistant.tsx,both,X,lucide-react,apps/frontend/src/components/TaxAppealAssistant.tsx,5,import,varies,keep
other,TaxAppealAssistant.tsx,both,Loader2,lucide-react,apps/frontend/src/components/TaxAppealAssistant.tsx,5,import,varies,keep
other,TaxAppealAssistant.tsx,both,CheckCircle,lucide-react,apps/frontend/src/components/TaxAppealAssistant.tsx,5,import,varies,review
other,TaxAppealAssistant.tsx,both,AlertCircle,lucide-react,apps/frontend/src/components/TaxAppealAssistant.tsx,5,import,varies,keep
other,TaxAppealAssistant.tsx,both,Plus,lucide-react,apps/frontend/src/components/TaxAppealAssistant.tsx,5,import,varies,keep
other,TaxAppealAssistant.tsx,both,Minus,lucide-react,apps/frontend/src/components/TaxAppealAssistant.tsx,5,import,varies,review
other,TaxAppealAssistant.tsx,both,Home,lucide-react,apps/frontend/src/components/TaxAppealAssistant.tsx,5,import,varies,review
other,TaxAppealAssistant.tsx,both,Calculator,lucide-react,apps/frontend/src/components/TaxAppealAssistant.tsx,5,import,varies,review
other,TaxAppealAssistant.tsx,both,FileCheck,lucide-react,apps/frontend/src/components/TaxAppealAssistant.tsx,5,import,varies,review
other,VisualInspector.tsx,both,Camera,lucide-react,apps/frontend/src/components/VisualInspector.tsx,5,import,varies,review
other,VisualInspector.tsx,both,AlertTriangle,lucide-react,apps/frontend/src/components/VisualInspector.tsx,5,import,varies,review
